工长	六枝特区	县	20181109	20181112
电工	六枝特区	县	20181109	20181112
木工	六枝特区	县	20181109	20181112
瓦工	六枝特区	县	20181109	20181112
油漆工	六枝特区	县	20181109	20181112
抹灰工	六枝特区	县	20181109	20181112
钢筋工	六枝特区	县	20181109	20181112
焊工	六枝特区	县	20181109	20181112
架子工	六枝特区	县	20181109	20181112
混凝土工	六枝特区	县	20181109	20181112
安装工	六枝特区	县	20181109	20181112
水电工	六枝特区	县	20181109	20181112
铺装工	六枝特区	县	20181109	20181112
防水工	六枝特区	县	20181109	20181112
吊顶工	六枝特区	县	20181109	20181112
管道工	六枝特区	县	20181109	20181112
普工/杂工	六枝特区	县	20181109	20181112
项目经理	六枝特区	县	20181109	20181112
监理	六枝特区	县	20181109	20181112
劳务经理	六枝特区	县	20181109	20181112
模板工	六枝特区	县	20181109	20181112
爆破工	六枝特区	县	20181109	20181112
养护工	六枝特区	县	20181109	20181112
古建工	六枝特区	县	20181109	20181112
拆除工	六枝特区	县	20181109	20181112
工程机械	六枝特区	县	20181109	20181112
园林绿化	六枝特区	县	20181109	20181112
其他工种	六枝特区	县	20181109	20181112
﻿工长	科尔沁区	县	20181109	20181112
电工	科尔沁区	县	20181109	20181112
木工	科尔沁区	县	20181109	20181112
瓦工	科尔沁区	县	20181109	20181112
油漆工	科尔沁区	县	20181109	20181112
抹灰工	科尔沁区	县	20181109	20181112
钢筋工	科尔沁区	县	20181109	20181112
焊工	科尔沁区	县	20181109	20181112
架子工	科尔沁区	县	20181109	20181112
混凝土工	科尔沁区	县	20181109	20181112
安装工	科尔沁区	县	20181109	20181112
水电工	科尔沁区	县	20181109	20181112
铺装工	科尔沁区	县	20181109	20181112
防水工	科尔沁区	县	20181109	20181112
吊顶工	科尔沁区	县	20181109	20181112
管道工	科尔沁区	县	20181109	20181112
普工/杂工	科尔沁区	县	20181109	20181112
项目经理	科尔沁区	县	20181109	20181112
监理	科尔沁区	县	20181109	20181112
劳务经理	科尔沁区	县	20181109	20181112
模板工	科尔沁区	县	20181109	20181112
爆破工	科尔沁区	县	20181109	20181112
养护工	科尔沁区	县	20181109	20181112
古建工	科尔沁区	县	20181109	20181112
拆除工	科尔沁区	县	20181109	20181112
工程机械	科尔沁区	县	20181109	20181112
园林绿化	科尔沁区	县	20181109	20181112
其他工种	科尔沁区	县	20181109	20181112
﻿工长	武山县	县	20181109	20181112
电工	武山县	县	20181109	20181112
木工	武山县	县	20181109	20181112
瓦工	武山县	县	20181109	20181112
油漆工	武山县	县	20181109	20181112
抹灰工	武山县	县	20181109	20181112
钢筋工	武山县	县	20181109	20181112
焊工	武山县	县	20181109	20181112
架子工	武山县	县	20181109	20181112
混凝土工	武山县	县	20181109	20181112
安装工	武山县	县	20181109	20181112
水电工	武山县	县	20181109	20181112
铺装工	武山县	县	20181109	20181112
防水工	武山县	县	20181109	20181112
吊顶工	武山县	县	20181109	20181112
管道工	武山县	县	20181109	20181112
普工/杂工	武山县	县	20181109	20181112
项目经理	武山县	县	20181109	20181112
监理	武山县	县	20181109	20181112
劳务经理	武山县	县	20181109	20181112
模板工	武山县	县	20181109	20181112
爆破工	武山县	县	20181109	20181112
养护工	武山县	县	20181109	20181112
古建工	武山县	县	20181109	20181112
拆除工	武山县	县	20181109	20181112
工程机械	武山县	县	20181109	20181112
园林绿化	武山县	县	20181109	20181112
其他工种	武山县	县	20181109	20181112
﻿工长	城固县	县	20181109	20181112
电工	城固县	县	20181109	20181112
木工	城固县	县	20181109	20181112
瓦工	城固县	县	20181109	20181112
油漆工	城固县	县	20181109	20181112
抹灰工	城固县	县	20181109	20181112
钢筋工	城固县	县	20181109	20181112
焊工	城固县	县	20181109	20181112
架子工	城固县	县	20181109	20181112
混凝土工	城固县	县	20181109	20181112
安装工	城固县	县	20181109	20181112
水电工	城固县	县	20181109	20181112
铺装工	城固县	县	20181109	20181112
防水工	城固县	县	20181109	20181112
吊顶工	城固县	县	20181109	20181112
管道工	城固县	县	20181109	20181112
普工/杂工	城固县	县	20181109	20181112
项目经理	城固县	县	20181109	20181112
监理	城固县	县	20181109	20181112
劳务经理	城固县	县	20181109	20181112
模板工	城固县	县	20181109	20181112
爆破工	城固县	县	20181109	20181112
养护工	城固县	县	20181109	20181112
古建工	城固县	县	20181109	20181112
拆除工	城固县	县	20181109	20181112
